epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5636,2.20695,4.54274,2.13273,0.00435,0.5,0.03811,0.00944,1.28772,4.76241,1.40803,1.111e-05,1.111e-05,1.111e-05
2,20.4718,2.14959,4.49146,1.91345,0.00535,0.5,0.03918,0.01185,1.23323,4.58812,1.37141,3.16802e-05,3.16802e-05,3.16802e-05
3,29.7683,1.75577,4.4061,1.74566,0.00666,0.5,0.05333,0.01971,1.08275,4.44069,1.29737,5.00506e-05,5.00506e-05,5.00506e-05
4,39.9585,1.91257,4.46454,1.95011,0.01059,0.66667,0.18855,0.07745,0.92941,4.3293,1.21574,6.62212e-05,6.62212e-05,6.62212e-05
5,49.2307,1.6072,4.17684,1.54384,0.01198,0.66667,0.19969,0.15174,0.91153,4.25767,1.21582,8.0192e-05,8.0192e-05,8.0192e-05
6,58.1272,1.67897,4.25349,1.6431,0.01283,0.83333,0.21064,0.11526,1.04382,4.19626,1.25151,9.1963e-05,9.1963e-05,9.1963e-05
7,67.5359,1.37956,3.79869,1.47676,0.0128,0.83333,0.2304,0.12337,1.05041,4.25328,1.22359,0.000101534,0.000101534,0.000101534
8,77.0786,1.58775,3.82864,1.60382,0.01147,0.83333,0.24965,0.12172,1.06841,4.20182,1.24073,0.000108906,0.000108906,0.000108906
9,86.4776,1.31875,3.36476,1.38962,0.0116,0.83333,0.27714,0.12083,1.07343,4.20765,1.24243,0.000114077,0.000114077,0.000114077
10,96.2297,1.43704,3.77262,1.58545,0.01176,0.83333,0.27466,0.1178,1.11717,4.19434,1.26137,0.000117049,0.000117049,0.000117049
11,105.483,1.28919,3.9091,1.43377,0.01196,0.83333,0.27568,0.12384,1.11836,4.18354,1.26534,0.000117822,0.000117822,0.000117822
12,114.434,1.20924,3.96964,1.39863,0.01197,0.83333,0.27469,0.12681,1.19035,4.18765,1.27447,0.000116394,0.000116394,0.000116394
13,123.283,1.26537,3.70567,1.40025,0.01271,0.83333,0.25967,0.13567,1.25967,4.09367,1.27176,0.000112767,0.000112767,0.000112767
14,132.377,1.26458,3.64326,1.46588,0.01272,0.83333,0.27915,0.18264,1.22766,4.10103,1.27521,0.000106939,0.000106939,0.000106939
15,141.375,1.13941,3.46515,1.28901,0.01271,0.83333,0.26324,0.17809,1.19638,4.10059,1.25193,9.89123e-05,9.89123e-05,9.89123e-05
16,150.357,1.13512,3.59248,1.37766,0.01183,0.83333,0.26884,0.18542,1.18347,4.10782,1.27405,8.86856e-05,8.86856e-05,8.86856e-05
17,159.264,1.10049,3.45072,1.31295,0.01108,0.83333,0.24872,0.17951,1.19189,4.14317,1.28645,7.6259e-05,7.6259e-05,7.6259e-05
18,168.118,1.09016,3.36495,1.44657,0.01098,0.83333,0.25594,0.18033,1.20712,4.15424,1.28256,6.16327e-05,6.16327e-05,6.16327e-05
19,176.959,1.09822,3.26654,1.37658,0.01059,0.83333,0.25054,0.18132,1.23749,4.10024,1.27617,4.48066e-05,4.48066e-05,4.48066e-05
20,185.62,1.09425,3.22913,1.39611,0.00995,0.83333,0.25069,0.18125,1.24208,4.13453,1.28146,2.57808e-05,2.57808e-05,2.57808e-05
